AnimalID,TargetID,PATH
87,1,"[ 1  7  8  1  1  1  5  5  5  5  5 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1
 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1]"
103,1,"[ 1  2  2  2  3  3  6  4  4  1  2  1  1  1  1  1  3  3  3  3  3  2  2  3
  3  1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1]"
91,1,"[ 1  1  1  1  1  1  1  1  1  1  1  1  1  1  8  8  8  8  8  8 -1 -1 -1 -1
 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1]"
93,1,"[ 1  8  8  8  7  7  3  3  1  1  1  2  3  5 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1
 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1]"
95,1,"[ 1  7  7  3  3  1  2  1  1  1  8 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1
 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1]"
121,1,"[ 1  2  2  1  4  4  4  4  4  1  1  1  1  1  4  4  2  2  1  5  5  5  5  5
 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1]"
99,1,"[ 1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1
  1  1  1  5 -1 -1 -1 -1 -1 -1 -1 -1 -1]"
114,1,"[ 1  7  7  3  3  2  1  2  2  2  4  3  4  5 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1
 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1]"
101,1,"[ 1  1  1  1  1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1
 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1]"
115,1,"[ 1  7  2  5  5  2  2  7  7  1  7  1  1  1  1  1  2  2  1  4  4  4  1  4
  4  1  5  1  1 -1 -1 -1 -1 -1 -1 -1 -1]"
43,1,"[ 1  7  7  3  3  7  7  7  1  1  1  1  2  1  7  2  3  5 -1 -1 -1 -1 -1 -1
 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1]"
52,1,"[ 1  3  3  3  3  3  2  1  1  1  7  1  1  1  3  3  3  3  3  3  3  3  4  4
  4 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1]"
49,1,"[ 1  7  6  6  6  3  4  4  4  1  1  4  2  2  2  4  3  3  2  1  1 -1 -1 -1
 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1]"
57,1,"[ 1  3  3  6  8  6  1  1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1
 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1]"
59,1,"[ 1  3  7  7  7  2  2  2  3  3  3  3  4  3  2  2  2  1  1  3 -1 -1 -1 -1
 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1]"
82,1,"[ 1  6  6  8  8  8  1  1  1  7  2  1  1  1  3  3  3  3  1  1  1  2  3  5
 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1]"
65,1,"[ 1  2  7  5  5  1  1  1  1  1  7  7  7  2  1  1  5  2  4  8  8 -1 -1 -1
 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1]"
90,1,"[ 1  4  4  1  3  3  1  6  7  7  3  2  2  2  2  1  7  7  7  7 -1 -1 -1 -1
 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1]"
67,1,"[ 1  1  1  1  1  1  1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1
 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1]"
50,1,"[ 1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  8
  8 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1]"
100,1,"[ 1  3  3  2  2  2  1  7  7  8  4  7  4  1  2  3  5  5  5  1  5 -1 -1 -1
 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1]"
75,1,"[ 1  6  6  1  3  3  2  2  7  1  2  2  1  7  7  2  4  4  4  3  3  4  4 -1
 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1]"
83,1,"[ 1  2  2  1  7  7  7  5  3  2  1  1  1  1  1  1  1  1  1  6  6 -1 -1 -1
 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1]"
71,1,"[ 1  7  7  7  1  4  4  4  1  1  1  1  1  1  1  7  3  2  2  1  1  1  1 -1
 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1]"
111,1,"[ 1  2  7  6  1  2  7  7  7  2  2  2  7  1  1  1  1  3  2  1 -1 -1 -1 -1
 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1]"
61,1,"[ 1  7  7  2  2  1  1  2  2  7  7  1  4  4  7  7  7  7  4  2  1  1  1 -1
 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1]"
94,1,"[ 1  3  3  5  5  5  2  2  7  7  7  2  3  3  3  3  3  2  1  6  1  1  1  1
 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1]"
88,2,"[ 1  7  7  7  7  3  2  2  5  5  5 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1
 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1]"
104,2,"[ 1  7  7  2  2  7  5  2  4  3  3  2  2  3  3  5  5  5  5  5  5  5  5  5
  5  5 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1]"
90,2,"[ 1  3  3  7  7  7  2  2  2  2  1  1  1  3  3  3  3  5  5  5  5  5  5  5
  5  5  5  5 -1 -1 -1 -1 -1 -1 -1 -1 -1]"
106,2,"[ 1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  4  3  1
  5 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1]"
108,2,"[ 1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1
  1  1  1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1]"
118,2,"[ 1  3  2  2  2  2  1  1  1  4  4  3  2  2  2  2  2  1  5  5  8  8  8 -1
 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1]"
98,2,"[ 1  8  1  1  1  1  2  4  4  4  4  4  4  4  4 -1 -1 -1 -1 -1 -1 -1 -1 -1
 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1]"
113,2,"[ 1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  5  5  5 -1
 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1]"
100,2,"[ 1  3  3  3  3  2  4  1  1  4  3  3  3  3  3  3  1 -1 -1 -1 -1 -1 -1 -1
 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1]"
44,2,"[ 1  3  3  3  5  5  7  7  2  2  1  3  3  3  3  4  3  2  3  1  3  1  3  1
  1  1  1  1  1  1  1 -1 -1 -1 -1 -1 -1]"
53,2,"[ 1  2  6  6  6  2  2  2  2  2  2  2  2  2  4  4  4  7  7  7  7  1  3  1
 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1]"
50,2,"[ 1  1  1  1  1  1  1  5  1  4  7  7  7  7  1  1  1  1  1  3  3  3  3  3
  3  2  2  3  3  3  2  2  1 -1 -1 -1 -1]"
58,2,"[ 1  2  2  2  2  2  4  4  2  1  1  1  1  4  1  1  4  4  4  1  3  3  3  5
 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1]"
60,2,"[ 1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1
  1  1  1  8  8 -1 -1 -1 -1 -1 -1 -1 -1]"
83,2,"[ 1  2  2  2  2  3  1  2  2  2  2  2  2  1  1  1  1  1  3  3  2  3  3  3
  3  3  2 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1]"
67,2,"[ 1  7  7  6  6  2  2  1  1  1  1  1  1  1  1  1  4  4  3  2  4  3  3  1
  1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1]"
76,2,"[ 1  7  7  7  1  1  1  1  1  1  1  1  2  2  2  3  4  3  1  1  1  1  1 -1
 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1]"
71,2,"[ 1  2  2  2  2  2  2  2  2  2  1  1  1  2  2  1  1  1  1  1  3  3  1 -1
 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1]"
52,2,"[ 1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  8  8
 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1]"
92,2,"[ 1  2  2  3  3  1  1  4  4  1  6  1  1  1  7  1  1  1  1  1  1  1  2  2
  3  2  1  1 -1 -1 -1 -1 -1 -1 -1 -1 -1]"
69,2,"[ 1  4  2  2  3  3  1  1  1  1  1  1  1  7  1  1  1  4  4  4  3  2  2  1
 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1]"
57,2,"[ 1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  8
  8  8  8  8  8  8 -1 -1 -1 -1 -1 -1 -1]"
