AnimalID,TrajectoryID,TrialNo,OriginalGroup,TargetGroup,Time_ 1,Time_ 2,Time_ 3,Time_ 4,Time_ 5,Time_ 6,Time_ 7,Time_ 8,Time_ 9,Time_10,Time_11,Time_12,Time_13,Time_14,Time_15,Time_16,Time_17,Time_18,Time_19,Time_20,Time_21,Time_22,Time_23,Time_24,Time_25,Time_26,Time_27,Time_28,Time_29,Time_30,Time_31,Time_32,Time_33,Time_34,Time_35,Time_36
87,9,1,1,1,3.9,3.6,3,1.8,4.2,2,2.59999999999999,3.8,2.8,2.2,2,1.8,0.800000000000004,2.8,5.2,4.2,2,3.2,4,3.00000000000001,3.80000000000001,3.80000000000001,3.20000000000002,4.19999999999999,2.40000000000001,3.19999999999999,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
87,10,2,1,1,2.7,3.4,2.8,3,3,2,3.4,3.3,2.7,3.40000000000001,3.4,2.2,5.20000000000001,2.99999999999999,5.4,4.6,5.40000000000001,3.59999999999999,4,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
87,11,3,1,1,4.9,2.8,3.2,2.6,2.2,4.4,4.2,5,2.4,2.2,3.00000000000001,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
87,12,4,1,1,3.3,3,3.2,2.8,3.2,3.4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
87,89,5,1,1,2.1,3.2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
87,90,6,1,1,2.9,4.4,3.4,4,3.4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
87,91,7,1,1,2.7,2.6,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
87,92,8,1,1,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,169,9,1,1,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,170,10,1,1,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,171,11,1,1,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,172,12,1,1,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,13,1,1,1,6.7,4.8,2.8,2.2,2,7.6,6.2,4,2.00000000000001,5.4,6.2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
